Property type,Size,Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior friendly,Students only,Balcony,Parking,Dishwasher,Washing machine,Electric charging station,Dryer,Energy rating,Rental period,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,Listing-id,Adress
Apartment,65 m²,2.0,Ground floor,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,30 June 2024,10.400 kr.,850 kr.,31.200 kr.,10.400 kr.,52.850 kr.,04/04/2024,4982089,"Mekanikvej, 2605 København, Brøndby  - Ground floor"
Apartment,69 m²,2.0,3rd ,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,-,Unlimited,1 June 2024,10.495 kr.,584 kr.,31.485 kr.,10.495 kr.,53.059 kr.,04/04/2024,5430076,"Banegårdspladsen, 2750 København, Ballerup  - 3rd floor"
Apartment,57 m²,2.0,1st ,No,No,Yes,No,No,No,No,No,Yes,Yes,Not specified,Yes,,Unlimited,1 July 2024,10.000 kr.,800 kr.,30.000 kr.,10.000 kr.,50.800 kr.,04/04/2024,5430073,"Gyngemose Parkvej, 2860 København, Søborg  - 1st floor"
Apartment,56 m²,3.0,1st ,No,No,Yes,No,No,No,No,No,Yes,Yes,Not specified,Yes,,Unlimited,1 July 2024,11.000 kr.,800 kr.,33.000 kr.,11.000 kr.,55.800 kr.,04/04/2024,5430072,"Gyngemose Parkvej, 2860 København, Søborg  - 1st floor"
Apartment,57 m²,3.0,Ground floor,No,No,Yes,No,No,No,No,No,Yes,Yes,Not specified,Yes,,Unlimited,1 July 2024,10.800 kr.,800 kr.,32.400 kr.,10.800 kr.,54.800 kr.,04/04/2024,5430071,"Gyngemose Parkvej, 2860 København, Søborg  - Ground floor"
Apartment,33 m²,1.0,3rd ,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,9.000 kr.,400 kr.,18.000 kr.,0 kr.,27.400 kr.,04/04/2024,5430062,"Hejrevej, 2400 København, København NV  - 3rd floor"
Apartment,35 m²,1.0,5th ,No,No,No,No,No,No,No,No,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,9.200 kr.,400 kr.,18.400 kr.,9.200 kr.,37.200 kr.,04/04/2024,5430061,"Hejrevej, 2400 København, København NV  - 5th floor"
Apartment,63 m²,2.0,1st ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,15 May 2024,11.200 kr.,800 kr.,33.600 kr.,11.200 kr.,56.800 kr.,04/04/2024,5279646,"Skanørgade, 2630 København, Taastrup  - 1st floor"
Apartment,39 m²,1.0,1st ,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,9.600 kr.,400 kr.,19.200 kr.,0 kr.,29.200 kr.,04/04/2024,5430058,"Hejrevej, 2400 København, København NV  - 1st floor"
Apartment,68 m²,2.0,4th ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,Yes,Yes,,Unlimited,15 June 2024,13.600 kr.,800 kr.,40.800 kr.,13.600 kr.,68.800 kr.,04/04/2024,4091198,"Øresundsvej, 2300 København, København S  - 4th floor"
Apartment,118 m²,4.0,4th ,No,No,Yes,No,Not specified,Not specified,No,No,Yes,Yes,Yes,Yes,,Unlimited,1 July 2024,15.600 kr.,1.000 kr.,46.800 kr.,15.600 kr.,79.000 kr.,04/04/2024,5430066,"Asger Jorns Allé, 2300 København, København S  - 4th floor"
Apartment,67 m²,2.0,Ground floor,No,No,Yes,No,Not specified,Not specified,No,No,Yes,Yes,Yes,Yes,,Unlimited,1 July 2024,12.200 kr.,800 kr.,36.600 kr.,12.200 kr.,61.800 kr.,04/04/2024,5430065,"Robert Jacobsens Vej, 2300 København, København S  - Ground floor"
Apartment,95 m²,4.0,Ground floor,No,No,Yes,Yes,Not specified,Not specified,No,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,13.200 kr.,1.000 kr.,39.600 kr.,13.200 kr.,67.000 kr.,04/04/2024,5430064,"Rønnebygade, 2630 København, Taastrup  - Ground floor"
Apartment,60 m²,2.0,2nd ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,10.100 kr.,800 kr.,30.300 kr.,10.100 kr.,51.300 kr.,04/04/2024,5279652,"Skanørgade, 2630 København, Taastrup  - 2nd floor"
Apartment,101 m²,4.0,3rd ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,15.700 kr.,1.000 kr.,47.100 kr.,15.700 kr.,79.500 kr.,04/04/2024,5091057,"Else Alfelts Vej, 2300 København, København S  - 3rd floor"
Apartment,77 m²,2.0,5th ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,12.500 kr.,800 kr.,37.500 kr.,12.500 kr.,63.300 kr.,04/04/2024,4943022,"Hannemanns Allé, 2300 København, København S  - 5th floor"
Apartment,90 m²,2.0,8th ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,13.500 kr.,1.000 kr.,40.500 kr.,13.500 kr.,68.500 kr.,04/04/2024,4691041,"Hannemanns Allé, 2300 København, København S  - 8th floor"
Apartment,97 m²,3.0,8th ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,14.400 kr.,1.000 kr.,43.200 kr.,14.400 kr.,73.000 kr.,04/04/2024,4089474,"Else Alfelts Vej, 2300 København, København S  - 8th floor"
Apartment,97 m²,3.0,9th ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,14.800 kr.,1.000 kr.,44.400 kr.,14.800 kr.,75.000 kr.,04/04/2024,5127313,"Else Alfelts Vej, 2300 København, København S  - 9th floor"
Apartment,83 m²,3.0,3rd ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,12.200 kr.,1.000 kr.,36.600 kr.,12.200 kr.,62.000 kr.,04/04/2024,4904996,"Skjeberg Allé, 2630 København, Taastrup  - 3rd floor"
Apartment,73 m²,3.0,2nd ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,4640269,"Skjeberg Allé, 2630 København, Taastrup  - 2nd floor"
Apartment,99 m²,4.0,3rd ,No,No,Yes,No,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,12.700 kr.,1.000 kr.,38.100 kr.,12.700 kr.,64.500 kr.,04/04/2024,4826518,"Sporstræde, 2640 København, Hedehusene  - 3rd floor"
Apartment,58 m²,2.0,Ground floor,No,No,Yes,No,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,9.400 kr.,800 kr.,28.200 kr.,9.400 kr.,47.800 kr.,04/04/2024,4796139,"Sporstræde, 2640 København, Hedehusene  - Ground floor"
Apartment,35 m²,1.0,5th ,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,9.200 kr.,400 kr.,18.400 kr.,0 kr.,28.000 kr.,04/04/2024,5430056,"Hejrevej, 2400 København, København NV  - 5th floor"
Apartment,35 m²,1.0,6th ,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,9.300 kr.,400 kr.,18.600 kr.,0 kr.,28.300 kr.,04/04/2024,5430054,"Hejrevej, 2400 København, København NV  - 6th floor"
Apartment,35 m²,1.0,6th ,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,,Unlimited,As soon as possible,9.300 kr.,400 kr.,18.600 kr.,0 kr.,28.300 kr.,04/04/2024,5430053,"Hejrevej, 2400 København, København NV  - 6th floor"
Apartment,30 m²,1.0,6th ,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,8.700 kr.,400 kr.,17.400 kr.,0 kr.,26.500 kr.,04/04/2024,5430052,"Hejrevej, 2400 København, København NV  - 6th floor"
Apartment,39 m²,1.0,5th ,Yes,No,No,Yes,No,No,No,Yes,Yes,Yes,Not specified,Yes,,12-23 months,As soon as possible,9.900 kr.,400 kr.,19.800 kr.,0 kr.,30.100 kr.,04/04/2024,5430050,"Hejrevej, 2400 København, København NV  - 5th floor"
Apartment,113 m²,5.0,2nd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 July 2024,16.800 kr.,1.750 kr.,50.400 kr.,16.800 kr.,85.750 kr.,04/04/2024,5348308,"Else Alfelts Vej, 2300 København, København S  - 2nd floor"
Apartment,70 m²,3.0,3rd ,No,No,No,No,No,No,Yes,No,No,No,No,No,-,Unlimited,1 July 2024,12.400 kr.,800 kr.,37.200 kr.,12.400 kr.,62.800 kr.,04/04/2024,5169511,"C. F. Møllers Allé, 2300 København, København S  - 3rd floor"
Apartment,78 m²,3.0,2nd ,No,No,No,No,No,No,Yes,No,No,No,No,No,-,Unlimited,1 July 2024,12.750 kr.,800 kr.,38.250 kr.,12.750 kr.,64.550 kr.,04/04/2024,5191235,"Halldór Laxness Vej, 2300 København, København S  - 2nd floor"
Apartment,109 m²,4.0,Ground floor,No,No,No,No,No,No,Yes,No,No,No,No,No,-,Unlimited,1 July 2024,14.200 kr.,1.200 kr.,42.600 kr.,14.200 kr.,72.200 kr.,04/04/2024,4262503,"Emma Gads Vej, 2300 København, København S  - Ground floor"
Apartment,127 m²,5.0,4th ,No,No,No,No,No,No,Yes,No,No,No,No,No,-,Unlimited,1 July 2024,16.800 kr.,1.400 kr.,50.400 kr.,16.800 kr.,85.400 kr.,04/04/2024,4844434,"Halldor Laxness Vej, 2300 København, København S  - 4th floor"
Apartment,72 m²,3.0,2nd ,Yes,No,No,No,No,No,No,No,Not specified,Not specified,No,Not specified,-,24+ months,15 April 2024,16.700 kr.,850 kr.,50.100 kr.,0 kr.,67.650 kr.,04/04/2024,5430049,"Sølvgade, 1307 København, København K  - 2nd floor"
Room,12 m²,1.0,2nd ,No,No,No,No,No,No,No,No,Not specified,Yes,Not specified,Not specified,,Unlimited,1 May 2024,6.000 kr.,0 kr.,6.000 kr.,0 kr.,12.000 kr.,04/04/2024,5430030,"Værnedamsvej, 1819 København, Frederiksberg C  - 2nd floor"
Apartment,89 m²,4.0,1st ,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Unlimited,30 June 2024,13.100 kr.,1.000 kr.,39.300 kr.,13.100 kr.,66.500 kr.,04/04/2024,5241593,"Mekanikvej, 2605 København, Brøndby  - 1st floor"
Apartment,56 m²,1.0,Ground floor,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,11.000 kr.,650 kr.,33.000 kr.,11.000 kr.,55.650 kr.,04/04/2024,5430046,"Amagerfælledvej, 2300 København, København S  - Ground floor"
Apartment,120 m²,4.0,Ground floor,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,16.000 kr.,1.250 kr.,48.000 kr.,16.000 kr.,81.250 kr.,04/04/2024,5193775,"Amagerfælledvej, 2300 København, København S  - Ground floor"
Apartment,100 m²,3.0,2nd ,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,As soon as possible,14.600 kr.,1.140 kr.,43.800 kr.,14.600 kr.,74.140 kr.,04/04/2024,5430045,"Amagerfælledvej, 2300 København, København S  - 2nd floor"
Apartment,78 m²,3.0,3rd ,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,15 April 2024,10.920 kr.,995 kr.,32.760 kr.,10.920 kr.,55.595 kr.,04/04/2024,5430033,"Parkstrøget, 2630 København, Taastrup  - 3rd floor"
Apartment,87 m²,3.0,4th ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,Yes,Yes,,Unlimited,1 July 2024,14.900 kr.,1.000 kr.,44.700 kr.,14.900 kr.,75.500 kr.,04/04/2024,5046623,"Strandlodsvej, 2300 København, København S  - 4th floor"
Apartment,88 m²,3.0,1st ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 July 2024,16.300 kr.,1.000 kr.,48.900 kr.,16.300 kr.,82.500 kr.,04/04/2024,4512192,"Havneholmen, 2450 København, København SV  - 1st floor"
Apartment,103 m²,3.0,2nd ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,Yes,Yes,,Unlimited,1 August 2024,15.400 kr.,1.000 kr.,46.200 kr.,15.400 kr.,78.000 kr.,04/04/2024,5206440,"Øresundsvej, 2300 København, København S  - 2nd floor"
Apartment,50 m²,1.0,2nd ,Yes,No,No,Yes,No,No,Yes,No,Not specified,Yes,Not specified,Yes,,1-11 months,17 May 2024,5.000 kr.,0 kr.,5.000 kr.,0 kr.,10.000 kr.,04/04/2024,5430019,"Bjelkes Allé, 2200 København, København N  - 2nd floor"
Apartment,71 m²,2.0,Ground floor,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 July 2024,9.940 kr.,995 kr.,29.820 kr.,9.940 kr.,50.695 kr.,04/04/2024,5430025,"Rønnebygade, 2630 København, Taastrup  - Ground floor"
Apartment,103 m²,4.0,1st ,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,,Unlimited,1 May 2024,19.850 kr.,1.280 kr.,59.550 kr.,19.850 kr.,100.530 kr.,04/04/2024,5430024,"Masnedøgade, 2100 København, København Ø  - 1st floor"
Apartment,101 m²,4.0,Ground floor,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 August 2024,14.645 kr.,1.200 kr.,43.935 kr.,14.645 kr.,74.425 kr.,04/04/2024,5430023,"Tove Maës Vej, 2500 København, Valby  - Ground floor"
Apartment,60 m²,1.0,-,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,,Unlimited,1 July 2024,11.925 kr.,205 kr.,33.000 kr.,0 kr.,45.130 kr.,04/04/2024,5409451,"Robert Jacobsens Vej, 2300 København, København S "
Townhouse,114 m²,5.0,-,No,Yes,Yes,Not specified,Not specified,Not specified,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,16.800 kr.,0 kr.,50.400 kr.,16.800 kr.,84.000 kr.,04/04/2024,4697533,"Gyldenrisvej, 2300 København, København S "
Apartment,100 m²,4.0,5th ,No,No,No,Yes,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,-,Unlimited,1 May 2024,14.700 kr.,825 kr.,44.100 kr.,14.700 kr.,74.325 kr.,04/04/2024,5425970,"Hannemanns Allé, 2300 København, København S  - 5th floor"
Apartment,78 m²,2.0,2nd ,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 June 2024,12.000 kr.,950 kr.,36.000 kr.,12.000 kr.,60.950 kr.,04/04/2024,5384440,"Robert Jacobsens Vej, 2300 København, København S  - 2nd floor"
Apartment,89 m²,3.0,3rd ,No,No,No,Yes,No,No,Yes,No,Yes,Yes,No,Yes,-,Unlimited,1 May 2024,13.500 kr.,745 kr.,40.500 kr.,13.500 kr.,68.245 kr.,04/04/2024,5408670,"Hannemanns Allé, 2300 København, København S  - 3rd floor"
Apartment,54 m²,2.0,13th ,No,No,No,Yes,No,No,No,No,Yes,Yes,Not specified,Yes,,Unlimited,1 July 2024,12.500 kr.,950 kr.,37.500 kr.,12.500 kr.,63.450 kr.,04/04/2024,5285070,"Flaskehalsen, 1799 København, København V  - 13th floor"
Apartment,90 m²,3.0,3rd ,No,No,Yes,Yes,Not specified,Not specified,No,No,Yes,Yes,No,Yes,,Unlimited,As soon as possible,17.800 kr.,1.000 kr.,53.400 kr.,17.800 kr.,90.000 kr.,04/04/2024,5158528,"Borgm. Jensens Allé, 2100 København, København Ø  - 3rd floor"
Apartment,89 m²,4.0,3rd ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,15 May 2024,13.500 kr.,1.000 kr.,40.500 kr.,13.500 kr.,68.500 kr.,04/04/2024,4645164,"Skjeberg Allé, 2630 København, Taastrup  - 3rd floor"
Apartment,95 m²,4.0,3rd ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 June 2024,12.200 kr.,1.000 kr.,36.600 kr.,12.200 kr.,62.000 kr.,04/04/2024,5192422,"Dræsinen, 2640 København, Hedehusene  - 3rd floor"
Apartment,91 m²,4.0,3rd ,No,No,Yes,Yes,Not specified,Not specified,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 June 2024,13.200 kr.,1.000 kr.,39.600 kr.,13.200 kr.,67.000 kr.,04/04/2024,5430014,"Rønnebygade, 2630 København, Taastrup  - 3rd floor"
Apartment,76 m²,2.0,1st ,No,No,Yes,Yes,Not specified,Not specified,No,No,Yes,Yes,No,Yes,,Unlimited,As soon as possible,14.400 kr.,800 kr.,43.200 kr.,14.400 kr.,72.800 kr.,04/04/2024,5280728,"Borgm. Jensens Allé, 2100 København, København Ø  - 1st floor"
Apartment,47 m²,2.0,Ground floor,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,15 May 2024,9.000 kr.,400 kr.,27.000 kr.,9.000 kr.,45.400 kr.,04/04/2024,5372402,"Spotorno Alle, 2630 København, Taastrup  - Ground floor"
Apartment,87 m²,3.0,1st ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430013,"Malervangen, 2600 København, Glostrup  - 1st floor"
Apartment,87 m²,3.0,2nd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430012,"Malervangen, 2600 København, Glostrup  - 2nd floor"
Apartment,87 m²,3.0,3rd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430011,"Malervangen, 2600 København, Glostrup  - 3rd floor"
Apartment,87 m²,3.0,1st ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430010,"Malervangen, 2600 København, Glostrup  - 1st floor"
Apartment,87 m²,3.0,2nd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430009,"Malervangen, 2600 København, Glostrup  - 2nd floor"
Apartment,87 m²,3.0,3rd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430008,"Malervangen, 2600 København, Glostrup  - 3rd floor"
Apartment,87 m²,3.0,1st ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430007,"Malervangen, 2600 København, Glostrup  - 1st floor"
Apartment,87 m²,3.0,2nd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430006,"Malervangen, 2600 København, Glostrup  - 2nd floor"
Apartment,87 m²,3.0,3rd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430005,"Malervangen, 2600 København, Glostrup  - 3rd floor"
Apartment,92 m²,3.0,2nd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430004,"Malervangen, 2600 København, Glostrup  - 2nd floor"
Apartment,92 m²,3.0,3rd ,No,Yes,Yes,Yes,No,No,Yes,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.900 kr.,800 kr.,35.700 kr.,11.900 kr.,60.300 kr.,04/04/2024,5430002,"Malervangen, 2600 København, Glostrup  - 3rd floor"
Apartment,71 m²,3.0,4th ,No,Yes,Yes,Yes,No,No,No,Yes,Not specified,Yes,No,Yes,-,Unlimited,1 July 2024,11.700 kr.,800 kr.,35.100 kr.,11.700 kr.,59.300 kr.,04/04/2024,5430001,"Malervangen, 2600 København, Glostrup  - 4th floor"
