Property Type,Size(m²),Rooms,Floor,Furnished,Shareable,Pets allowed,Elevator,Senior friendly,Students only,Balcony,Parking,Dishwasher,Washing machine,Electric charging station,Dryer,Energy rating,Rental period,Available from,Monthly net rent,Utilities,Deposit,Prepaid rent,Move-in price,Creation Date,Listing-id,Adress,district
Townhouse,175,6,0,No,Yes,No,No,No,No,Yes,Yes,Yes,No,Not specified,Not specified,,24+ months,1 June 2024,27500,2000,82500,0,112000,08/03/2024,5148506,"Hjortespringparken, 2730 København, Herlev ",Herlev
Apartment,62,2,4,No,No,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,-,Unlimited,1 May 2024,11300,1050,33900,11300,57550,01/03/2024,5348189,"Else Alfelts Vej, 2300 København, København S  - 4th floor",København S
Apartment,55,2,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,14 July 2024,9700,650,29100,9700,49150,08/02/2024,5418629,"Spættevangen, 2635 København, Ishøj  - 1st floor",Ishøj
House,128,4,0,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,,24+ months,As soon as possible,30000,2000,90000,0,122000,10/01/2024,5411635,"Ingeborgvej, 2900 København, Hellerup ",Hellerup
Room,14,1,3,No,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,-,1-11 months,As soon as possible,4000,0,2000,0,6000,30/12/2023,5337166,"Artillerivej, 2300 København, København S  - 3rd floor",København S
Room,15,1,0,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,Yes,,1-11 months,As soon as possible,6500,0,13000,6500,26000,23/01/2024,4496105,"Garderhøjvej, 2820 København, Gentofte ",Gentofte
Room,13,1,0,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,Unlimited,1 May 2024,3500,1000,3500,0,8000,11/10/2023,5368683,"Tranumparken, 2660 København, Brøndby Strand ",Brøndby Strand
Room,16,1,4,No,No,No,No,No,No,Yes,No,No,No,No,No,-,Unlimited,As soon as possible,4900,400,4900,4900,15100,11/01/2024,5248886,"Finsensvej, 2000 København, Frederiksberg  - 4th floor",Frederiksberg
Apartment,90,2,4,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,Unlimited,As soon as possible,12495,1200,37485,12495,63675,16/10/2023,3899816,"Bymidten, 3500 København, Værløse  - 4th floor",Værløse
Apartment,41,1,1,Yes,No,No,Yes,No,No,Yes,Yes,No,Yes,No,No,,Unlimited,As soon as possible,14000,550,28000,14000,56550,13/10/2022,5309636,"Njalsgade, 2300 København, København S  - 1st floor",København S
Apartment,29,1,1,Yes,No,No,Yes,No,No,No,Yes,Not specified,Yes,No,Not specified,,Unlimited,As soon as possible,9500,550,19000,9500,38550,13/10/2022,5309633,"Njalsgade, 2300 København, København S  - 1st floor",København S
Apartment,29,1,1,Yes,No,No,Yes,No,No,No,Yes,Not specified,Yes,No,Not specified,,Unlimited,As soon as possible,10000,550,20000,10000,40550,12/10/2022,5309350,"Njalsgade, 2300 København, København S  - 1st floor",København S
Apartment,32,1,3,Yes,No,No,Yes,No,No,No,Yes,Not specified,Yes,No,Not specified,,Unlimited,As soon as possible,9000,550,19000,9000,37550,12/10/2022,5309349,"Njalsgade, 2300 København, København S  - 3rd floor",København S
Apartment,35,1,2,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,,Unlimited,1 June 2024,8150,550,24450,8150,41300,20/03/2024,5367860,"Poppelstykket, 2450 København, København SV  - 2nd floor",København SV
Apartment,35,1,1,No,No,No,Yes,No,No,No,No,No,No,No,No,-,Unlimited,1 May 2024,8100,1340,24300,8100,41840,11/03/2024,5185333,"Gyldendalsvej, 2800 København, Kongens Lyngby  - 1st floor",Kongens Lyngby
Room,13,1,0,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,4600,0,9200,0,13800,06/03/2024,5312944,"Vanløse Allé, 2720 København, Vanløse ",Vanløse
Apartment,69,2,4,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,-,Unlimited,1 June 2024,10005,995,30015,10005,51020,19/02/2024,5353435,"Rønnebygade, 2630 København, Taastrup  - 4th floor",Taastrup
Apartment,136,4,1,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,-,Unlimited,1 May 2024,18850,1029,56550,18850,95279,05/02/2024,5263096,"Glostervej, 2500 København, Valby  - 1st floor",Valby
Apartment,83,3,2,No,No,No,Yes,No,No,Yes,Yes,No,No,No,No,,Unlimited,1 June 2024,12550,900,37650,0,51100,20/03/2024,5181373,"Irmavej, 2610 København, Rødovre  - 2nd floor",Rødovre
Apartment,99,3,4,No,Yes,No,Yes,Yes,No,Yes,No,Not specified,Not specified,Not specified,Not specified,,Unlimited,1 June 2024,15995,1100,47985,15995,81075,20/03/2024,5423313,"Søborg Hovedgade, 2860 København, Søborg  - 4th floor",Søborg
Room,12,1,0,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,,Unlimited,As soon as possible,4500,1000,8000,0,13500,29/01/2024,4766284,"Bueparken, 2750 København, Ballerup ",Ballerup
Room,15,1,0,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,-,Unlimited,As soon as possible,4900,0,9800,0,14700,08/01/2024,5410570,"Tjørnevej, 2800 København, Kongens Lyngby ",Kongens Lyngby
Room,10,1,0,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,Yes,-,Unlimited,1 June 2024,6000,0,6000,0,12000,28/11/2023,5404113,"Doris Lessings Vej, 2300 København, København S ",København S
Room,16,1,1,No,No,No,No,No,No,No,Yes,No,No,No,No,,1-11 months,As soon as possible,4500,0,4500,4500,13500,03/11/2023,5196225,"Husumvej, 2700 København, Brønshøj  - 1st floor",Brønshøj
Apartment,76,3,2,No,No,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,-,Unlimited,1 June 2024,11400,995,34200,11400,57995,20/03/2024,5427162,"Kirkebjerg Tværvej, 2605 København, Brøndby  - 2nd floor",Brøndby
Apartment,100,4,0,No,Yes,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,1-11 months,1 September 2024,22000,0,22000,22000,66000,21/03/2024,5427722,"Løgstørgade, 2100 København, København Ø  - Ground floor",København Ø
Apartment,154,5,1,No,No,No,No,No,No,Yes,No,Yes,Yes,Not specified,Yes,,Unlimited,1 May 2024,23000,1400,69000,69000,162400,21/03/2024,5427716,"Virginiavej, 2000 København, Frederiksberg  - 1st floor",Frederiksberg
Apartment,54,2,0,No,No,No,No,No,No,No,No,No,No,No,No,,Unlimited,As soon as possible,8448,410,25344,25344,59546,21/03/2024,5427711,"Ellensvej, 2920 København, Charlottenlund  - Ground floor",Charlottenlund
Apartment,58,2,2,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,,Unlimited,14 April 2024,13250,250,39750,13250,66500,06/03/2024,5241081,"Søndre Fasanvej, 2500 København, Valby  - 2nd floor",Valby
Apartment,71,2,3,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,1 June 2024,10950,850,32850,10950,55600,06/03/2024,5424147,"Frøstjernestræde, 2640 København, Hedehusene  - 3rd floor",Hedehusene
Room,15,1,0,Yes,No,No,No,No,No,No,No,No,No,No,No,-,1-11 months,As soon as possible,4500,0,9000,0,13500,09/01/2024,5410001,"Gammelgårdsvej, 2730 København, Herlev ",Herlev
Apartment,140,5,5,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,,1-11 months,As soon as possible,25000,3000,25000,25000,78000,10/12/2023,5406412,"Tagensvej, 2200 København, København N  - 5th floor",København N
Apartment,110,4,3,No,No,Yes,Yes,No,No,Yes,No,Yes,Yes,Not specified,Yes,-,Unlimited,1 June 2024,18950,1300,56850,18950,96050,19/03/2024,5426905,"Alliancevej, 2450 København, København SV  - 3rd floor",København SV
Room,18,1,5,No,No,No,No,No,No,Yes,No,No,No,No,No,,12-23 months,As soon as possible,6000,0,12000,0,18000,19/03/2024,3808577,"Ingerslevsgade, 1705 København, København V  - 5th floor",København V
Apartment,98,3,7,No,No,No,No,No,No,Yes,Yes,Yes,Not specified,Not specified,Not specified,,Unlimited,1 May 2024,14400,790,43200,14400,72790,14/03/2024,5425959,"Hannemanns Allé, 2300 København, København S  - 7th floor",København S
Apartment,34,1,2,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No,No,-,Unlimited,30 April 2024,8400,400,25200,8400,42400,11/03/2024,5425210,"Englandsvej, 2300 København, København S  - 2nd floor",København S
House,91,4,0,No,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Not specified,Yes,,12-23 months,1 May 2024,20000,2000,40000,0,62000,06/03/2024,5424072,"Klokkerbakken, 2830 København, Virum ",Virum
Room,15,1,0,Yes,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,,1-11 months,As soon as possible,3800,500,8000,0,12300,04/03/2024,5423375,"Værebrovej, 2880 København, Bagsværd ",Bagsværd
Room,53,2,0,Yes,Yes,No,No,Yes,No,No,Yes,Yes,No,Not specified,Not specified,,Unlimited,As soon as possible,5500,0,10000,5500,21000,03/03/2024,5423325,"Johan Kellers Vej, 2450 København, København SV  - Ground floor",København SV
Apartment,92,4,2,No,No,No,No,No,No,Yes,No,No,No,No,No,,Unlimited,1 June 2024,14300,950,42900,14300,72450,28/02/2024,5422610,"Nadine Gordimers Vej, 2300 København, København S  - 2nd floor",København S
Apartment,98,3,1,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Not specified,Yes,-,Unlimited,1 May 2024,13364,1200,40092,13364,68020,26/02/2024,5421796,"Richard Mortensens Vej, 2300 København, København S  - 1st floor",København S
Apartment,109,3,1,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Not specified,Yes,-,Unlimited,1 July 2024,19700,1199,59100,19700,99699,21/02/2024,5367580,"Anker Heegaards Gade, 1572 København, København V  - 1st floor",København V
Room,10,1,0,Yes,Yes,No,No,No,No,No,No,Not specified,Yes,Not specified,Yes,,Unlimited,As soon as possible,3000,0,3000,3000,9000,15/02/2024,5419898,"Rendevænget, 2765 København, Smørum ",Smørum
Apartment,68,3,5,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,13950,700,41850,13950,70450,14/02/2024,5419676,"Gertrude Steins Vej, 2300 København, København S  - 5th floor",København S
Apartment,78,3,2,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Not specified,Yes,-,Unlimited,1 April 2024,10900,800,32700,10900,55300,14/02/2024,5419553,"Falsterbogade, 2630 København, Taastrup  - 2nd floor",Taastrup
Apartment,138,4,0,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,Yes,-,Unlimited,1 May 2024,16500,1300,49500,16500,83800,02/02/2024,4893314,"Edithsvej, 2600 København, Glostrup ",Glostrup
House,121,6,0,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,Yes,,1-11 months,1 May 2024,20000,1000,20000,20000,61000,24/01/2024,5414529,"Overbys Allé, 2500 København, Valby ",Valby
Townhouse,125,5,0,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,,Unlimited,As soon as possible,15500,0,46500,15500,77500,23/01/2024,5414852,"Søgræsgade, 2640 København, Hedehusene ",Hedehusene
Apartment,143,3,3,No,No,Yes,Yes,Not specified,Not specified,Yes,Yes,Not specified,Not specified,No,Not specified,-,24+ months,As soon as possible,44500,1500,133500,44500,224000,20/01/2024,5380795,"Islands Brygge, 2300 København, København S  - 3rd floor",København S
Apartment,84,3,2,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,-,Unlimited,14 June 2024,12600,850,37800,12600,63850,09/01/2024,5411375,"Baltorpvej, 2750 København, Ballerup  - 2nd floor",Ballerup
Apartment,126,3,0,No,No,No,No,Not specified,Not specified,No,No,Not specified,Not specified,No,Not specified,,Unlimited,As soon as possible,26000,1200,78000,,105200,20/12/2023,5408272,"Vedbæk Stationsvej, 2950 København, Vedbæk ",Vedbæk
Apartment,72,2,0,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,,1-11 months,As soon as possible,10100,900,30300,10100,51400,18/12/2023,5279958,"Bydammen, 2750 København, Ballerup  - Ground floor",Ballerup
Room,15,1,2,No,No,No,Yes,No,No,Yes,No,Yes,Yes,Not specified,Yes,-,Unlimited,As soon as possible,7500,0,22500,0,30000,17/12/2023,5424084,"Alliancevej, 2450 København, København SV  - 2nd floor",København SV
House,382,6,0,No,No,No,No,No,No,Yes,Yes,No,No,No,No,,12-23 months,1 May 2024,60000,1500,180000,60000,301500,17/12/2023,5347742,"Vedbæk Stationsvej, 2950 København, Vedbæk ",Vedbæk
Room,16,1,5,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,,1-11 months,As soon as possible,6500,0,0,6500,13000,05/12/2023,5405639,"Under Elmene, 2300 København, København S  - 5th floor",København S
Apartment,75,3,1,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,31 May 2024,12500,850,37500,12500,63350,13/11/2023,5401012,"Hørkær, 2730 København, Herlev  - 1st floor",Herlev
House,80,3,0,No,No,No,No,No,No,No,Yes,No,No,No,No,,24+ months,As soon as possible,13900,3000,41700,13900,72500,09/12/2023,5406374,"Ågerupvej, 2750 København, Ballerup ",Ballerup
Room,12,1,3,Yes,No,No,No,No,No,No,No,No,Yes,No,No,,Unlimited,As soon as possible,4600,0,6500,0,11100,09/12/2023,5234251,"Vesterbrogade, 1620 København, København V  - 3rd floor",København V
Apartment,71,3,5,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,14300,700,42900,14300,72200,21/03/2024,5427710,"Martha Christensens Vej, 2300 København, København S  - 5th floor",København S
Apartment,63,2,4,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,12700,650,38100,12700,64150,21/03/2024,5427709,"Martha Christensens Vej, 2300 København, København S  - 4th floor",København S
Apartment,49,2,6,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,-,Unlimited,As soon as possible,13000,600,39000,13000,65600,21/03/2024,5427708,"Martha Christensens Vej, 2300 København, København S  - 6th floor",København S
Apartment,110,4,1,No,Yes,No,No,No,No,No,No,No,No,No,No,,24+ months,As soon as possible,15500,1500,31000,15500,63500,21/03/2024,5395702,"Frankrigsgade, 2300 København, København S  - 1st floor",København S
Apartment,94,3,2,No,No,No,No,No,No,No,No,Not specified,Not specified,Not specified,Not specified,-,Unlimited,As soon as possible,13062,800,39186,13062,66110,21/03/2024,5074207,"Centrumgaden, 2750 København, Ballerup  - 2nd floor",Ballerup
Apartment,132,4,1,No,No,Yes,Yes,No,No,Yes,No,No,No,No,No,-,Unlimited,1 June 2024,20000,1700,60000,20000,101700,19/03/2024,5297429,"Alliancevej, 2450 København, København SV  - 1st floor",København SV
Apartment,85,2,5,No,No,No,No,No,No,Yes,No,No,No,No,No,,Unlimited,1 June 2024,13150,700,39450,13150,66450,21/03/2024,5427612,"Axel Heides Gade, 2300 København, København S  - 5th floor",København S
Apartment,86,3,1,No,No,No,No,No,No,Yes,No,No,No,No,No,,Unlimited,1 May 2024,12150,1440,36450,36450,86490,21/03/2024,5427611,"Kongevejen, 2830 København, Virum  - 1st floor",Virum
Apartment,113,3,2,No,No,Yes,Yes,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,13400,,40200,13400,67000,21/03/2024,5427608,"Nordmarks Alle, 2620 København, Albertslund  - 2nd floor",Albertslund
Apartment,96,2,2,No,No,Yes,Yes,Not specified,Not specified,Yes,Not specified,Not specified,Not specified,No,Not specified,-,Unlimited,As soon as possible,12400,,37200,12400,62000,21/03/2024,5427607,"Nordmarks Alle, 2620 København, Albertslund  - 2nd floor",Albertslund
